"","crime_type","service","date","latitude","longitude","outcome_status_category","outcome_status_date","year","month","borough","census_code"
"1","bicycle-theft","Force",2016-01-01,51.565407,-0.125357,"Investigation complete; no suspect identified","2016-01",2016,"January","Islington","E09000019"
"2","bicycle-theft","Force",2016-01-01,51.572291,-0.127945,"Status update unavailable","2016-05",2016,"January","Islington","E09000019"
"3","bicycle-theft","Force",2016-01-01,51.563844,-0.140758,"Status update unavailable","2016-05",2016,"January","Islington","E09000019"
"4","bicycle-theft","Force",2016-01-01,51.564471,-0.118585,"Status update unavailable","2016-05",2016,"January","Islington","E09000019"
"5","bicycle-theft","Force",2016-01-01,51.563863,-0.153353,"Status update unavailable","2016-05",2016,"January","Camden","E09000007"
"6","bicycle-theft","Force",2016-01-01,51.570677,-0.095803,"Status update unavailable","2016-05",2016,"January","Hackney","E09000012"
"7","bicycle-theft","Force",2016-01-01,51.573983,-0.08513,"Investigation complete; no suspect identified","2016-02",2016,"January","Hackney","E09000012"
"8","bicycle-theft","Force",2016-01-01,51.5649,-0.093375,"Investigation complete; no suspect identified","2016-02",2016,"January","Hackney","E09000012"
"9","bicycle-theft","Force",2016-01-01,51.565826,-0.133059,"Investigation complete; no suspect identified","2016-01",2016,"January","Islington","E09000019"
"10","bicycle-theft","Force",2016-01-01,51.560988,-0.118412,"Investigation complete; no suspect identified","2016-02",2016,"January","Islington","E09000019"
"11","bicycle-theft","Force",2016-01-01,51.560232,-0.074022,"Status update unavailable","2016-05",2016,"January","Hackney","E09000012"
"12","bicycle-theft","Force",2016-01-01,51.561917,-0.080847,"Status update unavailable","2016-05",2016,"January","Hackney","E09000012"
"13","bicycle-theft","Force",2016-01-01,51.560781,-0.129053,"Investigation complete; no suspect identified","2016-08",2016,"January","Islington","E09000019"
"14","bicycle-theft","Force",2016-01-01,51.564585,-0.105566,"Investigation complete; no suspect identified","2016-04",2016,"January","Islington","E09000019"
"15","bicycle-theft","Force",2016-01-01,51.561917,-0.080847,"Offender sent to prison","2016-03",2016,"January","Hackney","E09000012"
"16","bicycle-theft","Force",2016-01-01,51.565303,-0.130137,"Status update unavailable","2016-05",2016,"January","Islington","E09000019"
"17","bicycle-theft","Force",2016-01-01,51.564239,-0.108077,"Investigation complete; no suspect identified","2016-01",2016,"January","Islington","E09000019"
